,open,high,low,close,volume
20190827,11200,12250,11200,11700,1178575
20190826,10900,11600,10800,11100,452688
20190823,10650,11100,10550,11050,319985
20190822,11000,11350,10600,10800,235042
20190821,11400,11500,10950,10950,266838
20190820,11350,11500,11100,11350,268882
20190819,10750,11500,10750,11450,442594
20190816,10250,11150,10250,10800,435979
20190814,11300,11450,10300,10500,752673
20190813,11450,11750,11050,11250,469993
20190812,11850,12250,11450,11600,774095
20190809,11350,12200,11200,11650,1755564
20190808,11350,12450,11000,11250,1462662
20190807,11500,11750,10950,11050,801242
20190806,11250,11950,10400,11500,1248844
20190805,10600,12250,10400,11250,2099059
20190802,9900,10850,9560,10700,1122441
20190801,11000,11350,9910,10050,891276
20190731,11250,11600,10500,11350,819109
20190730,12050,12300,10700,11300,1047248
20190729,12550,13300,12350,12350,1361815
20190726,11350,13000,11350,12450,2642155
20190725,10850,12400,10700,11450,3033748
20190724,10700,11850,10400,10950,2431836
20190723,9370,11250,9320,10700,3796147
20190722,9250,9390,9150,9310,158000
20190719,9410,9540,9060,9370,445697
20190718,9400,9750,9290,9410,481504
20190717,9840,10200,9560,9600,941190
20190716,9340,9830,9120,9740,1903272
20190715,10300,13350,9200,9200,9444483
20190712,10750,10850,10100,10300,295854
20190711,9960,10750,9710,10750,624046
20190710,9650,10300,9400,10150,520860
20190709,9250,10450,9140,9650,1906200
20190708,8840,9040,8650,9040,262747
20190705,9000,9330,8590,8700,499146
20190704,9300,9460,8940,9220,428672
20190703,9000,9950,8700,9240,2263184
20190702,8510,9060,8460,8810,658337
20190701,8650,9170,8400,8730,1485336
20190628,10200,10200,8890,9000,1589230
20190627,11000,11300,9870,10200,6358669
20190626,8440,10000,8370,10000,6905735
20190625,5890,7720,5780,7720,3184572
20190624,6130,6140,5680,5940,212763
20190621,6160,6250,6110,6210,37887
20190620,6210,6260,6140,6260,14448
20190619,6230,6230,6100,6230,37865
20190618,6160,6250,6000,6220,56954
20190617,6270,6470,5990,6250,83373
20190614,6300,6380,6200,6260,47118
20190613,6340,6390,6280,6340,14156
20190612,6480,6480,6290,6350,29338
20190611,6420,6500,6390,6410,24706
20190610,6550,6580,6390,6420,37762
20190607,6180,6580,6180,6550,31100
20190605,6200,6390,6200,6340,13419
20190604,6310,6310,6110,6290,26044
20190603,6250,6360,6250,6310,12751
20190531,6310,6320,6060,6310,67527
20190530,6950,6990,6310,6310,38855
20190529,6590,6770,6330,6460,43716
20190528,6610,6610,6460,6590,19733
20190527,6670,6740,6300,6610,55136
20190524,6750,6750,6370,6620,40563
20190523,6790,6790,6500,6630,66795
20190522,6750,6850,6710,6790,54461
20190521,6800,6910,6690,6800,46069
20190520,7000,7120,6700,6800,59634
20190517,7120,7400,6940,7020,106330
20190516,7250,7500,7100,7230,203864
20190515,6840,7240,6830,7200,257274
20190514,6920,6930,6810,6840,138161
20190513,6560,6940,6560,6720,91590
20190510,6570,6740,6410,6670,83945
20190509,5870,7150,5410,6580,798547
20190508,6560,6620,6350,6350,44419
20190507,6690,6700,6580,6650,17585
20190503,6830,6830,6670,6690,31989
20190502,6800,6880,6750,6790,38651
20190430,6830,6830,6740,6810,7496
20190429,6840,6860,6750,6750,21152
20190426,6800,6820,6700,6790,31345
20190425,6950,6950,6780,6800,31496
20190424,6880,7000,6820,6930,31662
20190423,7130,7130,6850,6930,60989
20190422,7240,7240,7070,7070,27270
20190419,7190,7250,7110,7190,58566
20190418,7010,7210,7010,7190,74804
20190417,6950,7120,6830,7080,191179
20190416,6720,6890,6720,6790,71503
20190415,6690,6750,6670,6730,29714
20190412,6810,6830,6650,6750,61383
20190411,6750,6860,6590,6790,108893
20190410,6790,6800,6630,6750,46950
20190409,6890,6940,6350,6750,68450
20190408,7030,7030,6860,6860,31960
20190405,6940,7010,6890,6960,16283
20190404,7010,7040,6940,6940,27881
20190403,7000,7060,6920,6990,50620
20190402,6760,7080,6700,7010,115154
20190401,6910,7020,6620,6830,65066
20190329,7020,7080,6810,6970,16827
20190328,6940,7040,6940,7010,6021
20190327,6990,7080,6860,7020,28410
20190326,6860,6950,6840,6930,19888
20190325,7150,7150,6780,6830,88821
20190322,7100,7220,7050,7090,31790
20190321,7250,7250,7000,7010,40192
20190320,7250,7310,7120,7160,22523
20190319,7340,7400,7280,7290,13509
20190318,7220,7340,7220,7310,19184
20190315,7430,7430,7000,7230,29865
20190314,7380,7430,7300,7380,17382
20190313,7540,7570,7270,7380,30160
20190312,7590,7660,7500,7530,32220
20190311,7640,7640,7470,7590,49111
20190308,7450,7630,7370,7460,40305
20190307,7400,7560,7370,7370,15788
20190306,7300,7400,7250,7330,20479
20190305,7480,7540,7270,7340,39881
20190304,7550,7600,7400,7400,37533
20190228,7750,7760,7440,7440,43138
20190227,7700,7860,7600,7670,42870
20190226,7730,7910,7650,7740,96108
20190225,7790,7950,7660,7710,41543
20190222,7840,7950,7700,7710,26385
20190221,7850,7990,7770,7810,43426
20190220,8040,8060,7870,7870,73229
20190219,8270,8270,7800,8040,95565
20190218,7850,8100,7520,8040,224143
20190215,7180,8340,6790,8060,613251
20190214,6820,7120,6800,7110,124457
20190213,6740,6860,6650,6790,55466
20190212,6830,6830,6690,6740,64156
20190211,6810,6830,6750,6830,50089
20190208,6780,6840,6690,6770,100016
20190207,6750,6850,6690,6790,75203
20190201,6720,6790,6610,6770,78729
20190131,6950,7020,6590,6710,252161
20190130,7400,7400,6910,6920,314705
20190129,7580,7580,7300,7400,41068
20190128,7490,7570,7450,7500,21101
20190125,7620,7680,7430,7490,70002
20190124,7800,8000,7500,7690,145967
20190123,7940,8100,7720,7890,80456
20190122,8200,8360,7840,8000,66403
20190121,8350,8430,7910,8350,57193
20190118,8030,8410,8000,8410,135084
20190117,7700,8020,7590,8020,53860
20190116,7700,7710,7500,7710,28193
20190115,7600,7700,7450,7690,24607
20190114,7820,7840,7650,7730,19009
20190111,7840,7850,7700,7840,23106
20190110,7840,7870,7700,7840,16071
20190109,7810,7860,7760,7840,21439
20190108,7760,7880,7340,7790,38124
20190107,7470,7750,7300,7750,65331
20190104,7330,7450,7130,7450,37996
20190103,7210,7350,7120,7260,36832
20190102,7320,7410,7170,7320,34478
20181228,7330,7400,6910,7320,140289
20181227,7590,7660,7300,7380,64014
20181226,7680,7680,7440,7590,39340
